,revise
0,"**EVALUATE THE ESSAY HOLISTICALLY ACROSS ALL CRITERIA AND ASSIGN ONE SCORE FROM 1-5**

**Score 5 - Advanced Proficiency:** Consistently demonstrates superior control of language, organization, and topic development.

**Score 4 - High Proficiency:** Generally exhibits strong language control, cohesive organization, and effective topic development with minor errors.

**Score 3 - Moderate Proficiency:** Displays developing language control, partially effective organization, and some topic development with noticeable errors.

**Score 2 - Limited Proficiency:** Shows significant language difficulties, inadequate organization, and minimal topic development with frequent errors.

**Score 1 - Minimal Proficiency:** Fails to demonstrate adequate language control, organization, or topic development; errors pervade the essay.

**Evaluate the essay based on cohesion, syntax, vocabulary, phraseology, grammar, and conventions. Consider the writer's ability to develop a coherent and well-supported argument, use varied sentence structures and precise vocabulary, and maintain consistent grammar and mechanics throughout the essay.**"
1,"**ESSAY SCORING GUIDELINES:**

Assign a single holistic score from 1 to 5 based on the overall quality of the essay.

**EVALUATION CRITERIA:**

* Cohesion: Organization, logical flow, and effective transitions
* Syntax: Sentence structure variety, grammar, and usage accuracy
* Vocabulary: Range, precision, and appropriate use of topic-related terms
* Phraseology: Effective use of idioms, collocations, lexical bundles, and phrase variety
* Grammar: Accuracy in grammar and usage
* Conventions: Spelling, capitalization, punctuation, and formatting

**SCORE LEVELS:**

**5 - Advanced Proficiency:** Consistently well-controlled organization, flexible syntax, wide vocabulary range, skillful phraseology, and near-native fluency with rare minor errors.

**4 - High Proficiency:** Generally well-controlled organization, varied sentence structures, sufficient vocabulary range, appropriate phraseology, and minimal grammar and convention errors.

**3 - Moderate Proficiency:** Partially developed organization, limited syntax variety, minimally adequate vocabulary range, noticeable phraseology repetitions/misuses, and some grammar and convention errors.

**2 - Limited Proficiency:** Partially developed organization, sentence structure problems, narrow vocabulary range, inappropriate word choice, pervasive phraseology errors, and frequent grammar and convention errors.

**1 - Minimal Proficiency:** No clear organization, pervasive basic syntax errors, limited and inappropriately used vocabulary, memorized chunks dominate phraseology, and numerous grammar and convention errors.

Assign a single score from 1 to 5 based on the overall quality of the essay."
2,"**Evaluating Essays: Holistic Scoring Guidelines**

Assign a single score from 1 to 5 based on the essay's overall proficiency level.

**Score Descriptors:**

* **5 - Advanced Proficiency:** Consistently demonstrates exceptional organization, syntax, vocabulary, phraseology, grammar, and conventions. Errors are rare or negligible.
* **4 - High Proficiency:** Generally exhibits strong organization, varied sentence structures, sufficient vocabulary, and minimal grammatical errors. Conventions are mostly accurate.
* **3 - Moderate Proficiency:** Displays partially developed organization, limited sentence structure variation, minimally adequate vocabulary, and some grammatical errors. Conventions show developing use with occasional distracting errors.
* **2 - Limited Proficiency:** Exhibits partial or unclear organization, basic sentence structure problems, narrow vocabulary, and frequent grammatical errors. Conventions are frequently inaccurate and distracting.
* **1 - Minimal Proficiency:** Lacks clear organization, pervasively demonstrates basic syntax errors, extremely limited vocabulary, and numerous grammatical errors. Conventions are minimal and error-ridden.

**Evaluating the Essay:**

Read the essay carefully to assess its overall proficiency level across all criteria. Consider the cohesion, syntax, vocabulary, phraseology, grammar, and conventions used throughout the essay. Assign a single score from 1 to 5 based on your holistic evaluation."
3,"**ESSAY SCORING GUIDELINES**

Assign a single holistic score from 1 to 5 based on the overall proficiency level demonstrated in the essay.

**CRITERIA FOR EVALUATION**

* Cohesion: Organization, logical flow, and effective transitions
* Syntax: Variety of sentence structures, grammatical accuracy, and sentence-level cohesion
* Vocabulary: Range, precision, and appropriate use of topic-related terms
* Phraseology: Effective use of idioms, collocations, lexical bundles, and phrase-level cohesion
* Grammar: Accuracy in grammar, verb tenses, subject-verb agreement, and modifier placement
* Conventions: Spelling, capitalization, punctuation, and formatting accuracy

**SCORE LEVELS**

* **Score 5 - Advanced Proficiency**: Consistently demonstrates exceptional organization, syntax, vocabulary, phraseology, grammar, and conventions.
* **Score 4 - High Proficiency**: Generally demonstrates strong control over organization, syntax, vocabulary, phraseology, grammar, and conventions with occasional minor errors.
* **Score 3 - Moderate Proficiency**: Displays partial control over organization, syntax, vocabulary, phraseology, grammar, and conventions with noticeable errors.
* **Score 2 - Limited Proficiency**: Exhibits limited control over organization, syntax, vocabulary, phraseology, grammar, and conventions with frequent errors.
* **Score 1 - Minimal Proficiency**: Fails to demonstrate basic control over organization, syntax, vocabulary, phraseology, grammar, and conventions with pervasive errors.

**SCORING GUIDANCE**

When evaluating an essay, consider the student's performance across all criteria. Assign a single score from 1 to 5 based on the overall proficiency level demonstrated in the essay. Avoid assigning separate scores for individual criteria or averaging scores."
4,"**ESSAY SCORING GUIDELINES**

Assign a single holistic score from 1 to 5 based on the student's overall proficiency demonstrated across all criteria.

**Score 5 - Advanced Proficiency:**
Demonstrates exceptional mastery of essay writing, with consistent cohesion, varied sentence structures, precise vocabulary, effective phraseology, and impeccable grammar and conventions.

**Score 4 - High Proficiency:**
Displays strong control over essay organization, syntax, vocabulary, phraseology, and grammar, with minor errors that do not detract from the overall quality.

**Score 3 - Moderate Proficiency:**
Shows developing skills in essay writing, with some cohesion issues, limited sentence variety, and occasional vocabulary and phraseology mistakes, but still demonstrates a good understanding of grammar and conventions.

**Score 2 - Limited Proficiency:**
Exhibits significant struggles with essay organization, sentence structure, vocabulary, and phraseology, with frequent errors that impede communication.

**Score 1 - Minimal Proficiency:**
Displays little to no control over essay writing, with pervasive errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions, resulting in a lack of clarity and coherence.

When scoring, consider the student's ability to:

* Organize their ideas logically and cohesively
* Use varied sentence structures effectively
* Select precise and topic-related vocabulary
* Employ idioms, collocations, and lexical bundles accurately
* Demonstrate correct grammar and usage
* Follow conventions of spelling, capitalization, and punctuation

Assign a single score based on the student's overall performance across these criteria."
5,"**Holistic Essay Scoring Guidelines:**

Assign a single score from 1 to 5 based on the essay's overall proficiency level.

**Score Descriptions:**

**5 - Advanced Proficiency:** Consistently demonstrates exceptional control, coherence, and precision in all aspects of writing.

**4 - High Proficiency:** Displays strong control, organization, and vocabulary, with minimal errors that do not impede communication.

**3 - Moderate Proficiency:** Exhibits developing control, coherence, and vocabulary, with noticeable errors that somewhat affect communication.

**2 - Limited Proficiency:** Shows partial control, with frequent errors in syntax, vocabulary, and conventions that significantly impede communication.

**1 - Minimal Proficiency:** Lacks control, coherence, and precision, with pervasive errors that severely impede communication.

**Evaluation Criteria:**

* Cohesion: Organization, logical flow, and effective transitions
* Syntax: Sentence structure variety, accuracy, and complexity
* Vocabulary: Range, precision, and appropriate use of topic-related terms
* Phraseology: Idiomatic language, collocations, and lexical bundles
* Grammar: Error frequency and impact on communication
* Conventions: Spelling, capitalization, punctuation, and formatting accuracy

**Scoring Guidelines:**

Read the essay carefully to evaluate its overall proficiency level. Consider all criteria simultaneously to assign a single score from 1 to 5."
6,"**IMPROVED INSTRUCTION:**

Evaluate the essay holistically across all criteria and assign a single score from 1 to 5.

**Scoring Guidelines:**

* **Score 5 (Advanced Proficiency):** Consistently demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.
* **Score 4 (High Proficiency):** Generally exhibits strong control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with minor errors.
* **Score 3 (Moderate Proficiency):** Displays developing control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with noticeable errors.
* **Score 2 (Limited Proficiency):** Exhibits significant weaknesses in organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with frequent errors.
* **Score 1 (Minimal Proficiency):** Fails to demonstrate basic control over organization, sentence structure, vocabulary, phraseology, grammar, and conventions, with pervasive errors.

Assign a single score from 1 to 5 based on the overall quality of the essay."
7,"**Evaluate the essay holistically across all seven criteria to determine an overall proficiency level. Assign ONE score from 1-5.**

**Score Descriptions:**

**5 - Advanced Proficiency:** The essay demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.

**4 - High Proficiency:** The essay showcases strong organization, varied sentence structures, accurate vocabulary, effective phrases, and minimal grammatical errors.

**3 - Moderate Proficiency:** The essay displays some control over organization, sentence structure, vocabulary, and grammar, but with noticeable errors and limitations.

**2 - Limited Proficiency:** The essay struggles with organization, sentence structure, vocabulary, and grammar, leading to significant errors and misunderstandings.

**1 - Minimal Proficiency:** The essay lacks clear organization, syntax, vocabulary, phraseology, grammar, and conventions, resulting in a fragmented and unclear text."
8,"**Evaluate the essay holistically across all seven criteria to determine the overall proficiency level. Assign ONE score from 1-5 based on the following guidelines:**

**Score 5 - Advanced Proficiency:**
Demonstrates exceptional cohesion, syntax, vocabulary, phraseology, grammar, and conventions.

**Score 4 - High Proficiency:**
Displays strong control over organization, sentence structure, vocabulary, phrases, grammar, and conventions with minimal errors.

**Score 3 - Moderate Proficiency:**
Shows developing control over cohesion, syntax, vocabulary, phraseology, grammar, and conventions with some noticeable errors.

**Score 2 - Limited Proficiency:**
Exhibits partial control over organization, sentence structure, vocabulary, phrases, grammar, and conventions with frequent errors.

**Score 1 - Minimal Proficiency:**
Lacks clear organization, exhibits pervasive basic errors in syntax, vocabulary, phraseology, grammar, and conventions."
9,"**EVALUATION INSTRUCTION**

Assign a holistic score from 1 to 5 based on the student's essay across all criteria.

**SCORE LEVELS:**

* **5 - Advanced Proficiency:** Consistently demonstrates advanced language skills, with minimal errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions.
* **4 - High Proficiency:** Displays strong language skills, with occasional minor errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions.
* **3 - Moderate Proficiency:** Shows developing language skills, with some noticeable errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions that may distract from the message.
* **2 - Limited Proficiency:** Exhibits limited language skills, with frequent errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions that impede understanding.
* **1 - Minimal Proficiency:** Displays minimal language skills, with pervasive errors in cohesion, syntax, vocabulary, phraseology, grammar, and conventions that severely distort the message.

**EVALUATION GUIDELINES:**

When evaluating the essay, consider all criteria holistically. Assign a single score from 1 to 5 based on the student's overall proficiency level. Focus on the student's ability to effectively communicate their ideas, rather than merely counting errors."
