essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,essay_length
5985,3,"The affects of the cyclist is if it does not change. it cut hurt a lot of people feeling because they @CAPS1 don’t care about the cyclist. I’m one of them people who does not care about it cause it does not affect me or anyone I know. It is a big deal to write people, some of them @CAPS1 blow stuff up. They talking on tiv and on the radio making all this stuff they say is made up. I don’t believe to I see it. That @CAPS1 not for black people because it has not did anything to us. We really don’t care about the affects of the cyclist.",0.0,0.0,,0.0,111
6012,3,"Understanding, realitic, mode-all are reason’s how setting affects the setting. If a book has a good setting then the book might be pretty good. When you have a setting it’s more understable of what they are trying today. And if you have a good setting it makes it more realitic So when you read it you wont be thrown off, the mode of the story sets it all off, because usually books have there ups and downs. That’s why they chase the mode.  ",0.0,0.0,,0.0,83
6200,3,"The cyclist in this essay was a very brave man. He had many obsticles in his journey but he still made it. Nature was most definatly not on his side that day. He had to ride his bike up and down hills several times which wears you out very quickly”. “Flat road was replaced by short rolling hills, “After he got threw the hills, he came to a sigh “ ROUGH ROAD AHEAD: DO NOT EXCEED POSTED SPEED LIMIT”.  Now he has to go through bumply roads. “At some point, tumbleweeds crossed my path and a ridiculously large snake- it really did look like a diamond back-blocked the majority of the pavement in front of me”. Now the poor guy had to deal with snakes bigger than him! Thankfully he got by the snake, alive. “Over one long cripping hill, a building came into view”. The man thinks he found someplace to get water, but its an abonded building . “...,by the looks of it – and been a welch’s grape Juice Factory and botting plant.”.",0.0,0.0,,0.0,176
6206,3,"The setting in this story is important because if you don’t have a setting then this will not make sence, setting is something everyone can do. It can be anywhere or anything. The setting helps puts the whole story back together. The setting in this story is @LOCATION1 spending time with his family. Setting is a very important part in a morvie/video.",0.0,0.0,,0.0,62
6296,3,"The setting was hot and dry, which affected the cyclist greatly. She didn’t have enough space to carry a lot of water and rod to make portrons to drink. Also listening to old guys who didn’t know much didn’t help either and sent her on a much harder path to travel",0.0,0.0,,0.0,51
6538,3,"The features of the setting affect the cyclist because when you have hills to climb and little water, you will get dehydrated. Also the heat from the desert is so hot that it also can make you dehydrated. If you don’t  pace yourself and dont drink too much water you will be able to reach your goal. Your rest is a big thing for if you dont have energy, you will not get far.",0.0,0.0,,0.0,74
6656,3,"The features of the setting affects the cyclist by rush he /she got when speeding down the hill. The fresh morning air, no limits just you and your feet. Speeding, going as fast as you can with your heart pounding in your chest. No boundarys, when you can go where you like, when you like. No people to get in the way of you and your need for speed.",0.0,0.0,,0.0,69
6782,3,The feature of the setting affects the cyclist because the features is just a brief preview of what the text is going to be about or who is involved in it. The cyclist gives you what you want and need to know so the affect would be about time the feature is finish play in noone would want to see the cyclist.,0.0,0.0,,0.0,62
6928,3,"The features of the setting affect. Any cyclist   because with the cyclist passed many time in the bicycle had problem on his/her back  when he/she will be older. When they will be a older person and they had passed many time in the bicycle, they will had a serious problems and also they will can not walk  more.",0.0,0.0,,0.0,58
7137,3,The settings of the story is very desert like what I mean by that is its the desert and its hot and he really had to push his self to make it. The condition at the rode are very rough and has a lotof shape turn it in. Apart in the story he gets a boost of energy and pedal as hard as he can down a hill and then relaxes. This is the setting and is summary of the story.,0.0,0.0,,0.0,81
7274,3,"I am going to write a response that explains how the features of the setting affects the cyclist. In my response, I will include examples from the essay that support my conclusion. I think the features in the setting affect the cyclist because different things such as snow or rocks could affect the way someone rides.",0.0,0.0,,0.0,56
7331,3,"When you do something really to often you get used to it, well I think is the same thing with how sitting affects the cyclist features. It might make their butt flat or their back has a diferent shape and with different shep I dont mean that they are diformed but evey person is diferen so their back can either have a “@CAPS1” shape or an “I” shape or a “D” shape.",0.0,0.0,,0.0,72
7422,3,My point of view that affect a cyclist that people need to recycle sometimes people is throwing away trash can with soda in side of it people cyclist now in days some times they need to change that role my conclusion people need to save stuff to make some new things to make a good quality world of cyclist things.,0.0,0.0,,0.0,60
7457,3,The story that I am doing the most was going to talk about what happen in the story I was not shore but the name of the story sound prety good if I was in the story I not be good becaus the story is really crazy I would be realy good two start and right,0.0,0.0,,0.0,56
7670,3,A response that explains how the feature of the setting affected the cyclist. Would be that in the setting in the setting affected cyclist because for one the features of setting was based on something else. So that would be a reason how it would be affected. Because they're is differences in the stories.,0.0,0.0,,0.0,54
7701,3,It give him a hard time so he learn a lot of thing from that he know that it not always easy. It not abig problem but sometime some small problem become bigger life is like riding bike you have any down some time have problem sometimes lost but that is life.,0.0,0.0,,0.0,52
5980,3,"Everyone travels to unfamiliar places. Sometimes we get lost and ask locals for directions which @MONTH1 not be a good idea. The setting affected the cyclist. He had a perfectly good map but asked older men who look like they haven’t been out in ages. The old men apparently haven’t been out because they gave the cyclist the wrong directions.  My advice would be to not listen to anyone no matter their age if you have a perfectly good map with you. Also try to know where you are going at all times. “Yes, sir!",1.0,1.0,,1.0,95
5981,3,"I believe the features of the cyclist affected him because he was impatient and trustworthy he tock the old mens advice to take an hr of his time bay taking a short cat, if he would of stayed true to the mep he wouldn’t of almost ared of heat but his impatientress got the best of him so he took the shortcut. After his experence he new haes to stat ?? to the mep and not trust people who havent seen changes in the last few years.  ",1.0,1.0,,1.0,87
5989,3,"The features of the setting affect the cyclist very much so! The cyclist is riding through the hot desert. Meaning he needs lots of cold water to keep him hydrated. The longer he rides in the hot sun, the more he sweats, the more likely he will get dehydrated. If he was riding in the rain or snow it could possibly slow him down also, because he would be cold and his muscles might get stiff and not be able to move as fast. This is why the setting affects the cyclist very much so. ",1.0,1.0,,1.0,95
5996,3,"In the story “Rough Road Ahead” by @PERSON1, the features of the setting affect the cyclist in many ways. One way the setting affects the cyclist is, in the desert, the cyclist drank more water than before. For example, the text states “I had been hitting my water bottles pretty regularly, and I was traveling through the high deserts of California in June. You will drink more water in a desert than in a forest. If you go cycling, be aware of the settings around you because they will affect you.",1.0,1.0,,1.0,91
6008,3,"The features of this setting affect the cyclist in many ways. The setting is a dessert so by common knowledge you know that it is going to be hot and dry. Because it is hot the cyclist needs more water because he is getting dehydrated. And when he is on his low of water because it is dry into mouth gets drys. @CAPS2 because he is in the dessert he sees wild sometime dangerous animals, in the story he sees a ridiculously @CAPS1 diamondbrock snake, which I believe are venomous, @CAPS2 ‘because ‘ of the extreme heat of the dessert he realizes that he had ??? chance of dropping from heatstroke. @CAPS2 the writer said that the dessert had short rolling hills and rough road ahead ??? would leave worn the cyclist out. Because of this terrain the cyclist way affects.",1.0,1.0,,1.0,141
6010,3,The features of the setting affect the cyclist in many different ways. One example is the hot sun that was beating down on him made him very thirsty. Another feature is the rough road that wore the cyclist out and made him tired. My last example is the old juice factory with the picture of a refreshing cup of juice on it made the cyclist feel like giving up because he thought he would die of dehydration. These are my reasons as to why the features of the setting affect the cyclist in many different ways.   ,1.0,1.0,,1.0,96
6017,3,The setting in the story changes many times. It starts in an area with rivers and pine trees. Then the cyclist arrives ant a town. After that he is pounded by the hot sun and along hilly road. With not much water left the cyclist uses all the energy he had to get to a town where he could get something to drink. The setting was what made the cyclists journey a hard one.,1.0,1.0,,1.0,74
6019,3,The setting effects the cyclist because he is in the desert with no water and doesnt know where he is going. The old men on the porch gave him wrong directions now he is lost in the desert. The cyclist find the will power to keep on moving and he finds help along the way. He finds another old man there that offer him directions but he says he has a map,1.0,1.0,,1.0,72
6029,3,"The features of the selling effect the cyclist a lot. One factor that would effect the cyclist would be the heat. Also, because of this factor, he’s pobably suffering from lack of water. He’s probably really hot seeing he’s the only one cut in the middle of nowhere for what looks like miles. Another feature of the setting that would probably effect the cyclist is the thought of there @MONTH1 be a car around this next turn. If he can’t see around the next turn he doesn’t know is coming. The cyclist could also be thinking about when the next town will show up.",1.0,1.0,,1.0,104
