essay_id,essay_set,essay,rater1_domain1,rater2_domain1,rater3_domain1,domain1_score,essay_length,question
6656,3,"The features of the setting affects the cyclist by rush he /she got when speeding down the hill. The fresh morning air, no limits just you and your feet. Speeding, going as fast as you can with your heart pounding in your chest. No boundarys, when you can go where you like, when you like. No people to get in the way of you and your need for speed.",0,0,,0,69,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6782,3,The feature of the setting affects the cyclist because the features is just a brief preview of what the text is going to be about or who is involved in it. The cyclist gives you what you want and need to know so the affect would be about time the feature is finish play in noone would want to see the cyclist.,0,0,,0,62,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7274,3,"I am going to write a response that explains how the features of the setting affects the cyclist. In my response, I will include examples from the essay that support my conclusion. I think the features in the setting affect the cyclist because different things such as snow or rocks could affect the way someone rides.",0,0,,0,56,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7549,3,"In the setting of the essay; ""Rough Road Ahead: Do not Exceed Posted Speed Limit."" had a great affect on the cyclist. It made him even more determined to finish because the terrain was so hard to ride through. For example, ""At some point, tumber weeds crossed my path and a ridiculously large snake-it really did look like a diamond back-back the majority of the pavement in front of me, I eased past, trying to keep my balance in my dehydrated state. ""The author fully explains how no matter how bad the obstacles are he comes across he keeps trying to easy on by. The terrain affect the character by keeping him determined. This happens to many people in their sports. For example in football they take any problems and use them as reasons to push themselves harder to finish the game. ",1,1,,1,142,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7682,3,"There are many features of the setting that affected the cyclist in ""Do not exceed the posted speed limit,"" The time of year affected the cyclist because it’s mid June, @CAPS1 the region affected the cyclist because mid June in arizona is extremely hot and try. If it was in a more northern state in @DATE1 or I, ll it wouldn’t be as bad and you world not have the dance of a heat struggles. @CAPS1 when the terrain changed from flat to hills this affected him because it made it harder for him the to ride. These are some features of the settings that affected the cyclist in ""Do not exceed the posted speed limit.""",1,1,,1,116,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7074,3,"The setting where the cyclist is at is in a desert, and it can affect him because, he could get a heatstroke. The text states that he is lacking water and if you get too dehygrated it's not healthy and you die from it. However, when the wind is against his face, it can cool him down,along with the sweat. As long as he has some lijid left, it should be ohang. ",1,1,,1,72,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7328,3,"The features of the setting do indeed affect the cyclist. First in the story when describing the setting it says “there was no one in sight, not a building, car, or structure of any kind.” @CAPS1 basically giving a hint or foreshadow that something bad is going to happen because hes alone. Another description of the setting when it affects the cyclist when it says “Rough Road Ahead; Do Not Exceed Posted Speed Limit” @CAPS1 pretty much saying danger ahead, something bad will happen.",1,1,,1,84,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6077,3,"The settings affect the cyclists for many reasons. One, if the setting is nice, the rider can concentrate on the scenery not on only pain they are having. also, if the setting isn’t very nice, the rider would probably concentrate more on the pain than they would the scenery. another thing is if the setting is very hilly & the rider has to drive over it, it @MONTH1 not feel the greatest. The cyclist would get even more pain than before plus the cyclist could could get dehydrated faster, the setting really does affect the cyclist.",1,1,,1,96,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
6847,3,"To be able to have a good bike ride, you must have a good setting. To me, a good setting would about @NUM1° outside and sunny. You can’t go bike riding in snow because there is no way that the tires will move in the snow. You can’t go in rain or hail because the roads get slippery and you could getin a accident that could injure or kill you. If it is sunny outside you be able to ride freely on dry roads with a little breeze to go through your hair and you could be refreshed. That is why I believe it is important for the setting to be just right for a bike ride.",1,1,,1,117,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
7247,3,"During the cyclist journey in “Rough Road Ahead” by joe Kurmaskie he expierences setting changes such as the road being flat then going to short rolling hills. When hes wrideing he says the road is flat. “Flat road was replaced"" This tells us the road he was on was nice and flat. Then as hes rideing he notice the land change.” Flat road was replaced by, short rolling hills.” this tells us that the cyclist will have more trouble sence the terrain changed. That’s how the land changes  ",1,1,,1,88,"Write a response that explains how the features of the setting affect the cyclist. In your response, include examples from the essay that support your conclusion."
